,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE
0,16100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16100.00,281,5,1.8115942028985508,14,0,1764.95,-61.59999999999991,-3.372478169226132,7250,6700,100,1761.6,100,1772.75,17856.5
1,16150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16150.00,0,0,0,0,0,0,0,0,7800,6300,1500,1618.95,1000,1762.75,17856.5
2,16200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16200.00,11,0,0,0,0,1598.8,0,0,6700,6550,200,1660.15,50,1677.15,17856.5
3,16250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16250.00,0,0,0,0,0,0,0,0,7800,7800,1500,1523.15,1500,1678.05,17856.5
4,16300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16300.00,2128,-33,-1.5270708005552984,76,0,1584.45,-62.450000000000045,-3.791972797376893,8450,7100,150,1556.9,50,1573.4,17856.5
5,16350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16350.00,2,0,0,0,0,1341.75,0,0,7800,6300,3250,1417.05,1000,1562.45,17856.5
6,16400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16400.00,182,0,0,0,0,1290.25,0,0,8850,7950,750,1361.35,100,1509.7,17856.5
7,16450,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16450.00,42,0,0,0,0,1495.9,0.5500000000001819,0.03678068679574561,6550,6550,100,1405.85,150,1452.15,17856.5
8,16500,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16500.00,10329,-63,-0.6062355658198614,202,0,1365.35,-74.65000000000009,-5.184027777777784,10550,7300,50,1362.3,50,1372.9,17856.5
9,16550,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16550.00,2,2,0,4,0,1344.3,-957.5000000000002,-41.59787992006257,6300,6400,1750,1237.45,50,1325.25,17856.5
