,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
0,16100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16100.00,11112,-445,-3.850480228432984,4068,23.43,1.9,-0.75,-28.30188679245283,157050,20850,50,2,2400,2.2,17856.5
1,16150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16150.00,251,23,10.087719298245615,218,23.24,2.2,-0.44999999999999973,-16.981132075471688,42000,1100,50,2.25,650,2.75,17856.5
2,16200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16200.00,4252,467,12.338177014531043,2967,22.36,2,-1.0499999999999998,-34.42622950819671,59500,11200,1200,1.8,100,3.35,17856.5
3,16250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16250.00,181,7,4.022988505747127,216,22.54,2.65,-0.30000000000000027,-10.169491525423737,67200,450,600,1.85,100,2.7,17856.5
4,16300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16300.00,13857,2512,22.141912736888496,7095,21.47,2.25,-0.7999999999999998,-26.22950819672131,257200,26400,50,2.1,1600,2.25,17856.5
5,16350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16350.00,316,61,23.92156862745098,256,21.4,2.75,-0.20000000000000018,-6.7796610169491585,55850,450,50,2.8,150,3.95,17856.5
6,16400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16400.00,2158,-52,-2.3529411764705883,1569,20.93,2.9,-0.5500000000000003,-15.942028985507253,75250,18800,600,2.25,100,3.05,17856.5
7,16450,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16450.00,5158,2,0.038789759503491075,2007,20.74,3.4,-0.9499999999999997,-21.83908045977011,93500,800,100,3.4,100,3.55,17856.5
8,16500,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16500.00,34550,140,0.4068584713746004,13408,19.43,2.65,-1.35,-33.75,223000,21000,17850,2.65,1000,3.7,17856.5
9,16550,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16550.00,414,142,52.205882352941174,863,19.55,3.5,-0.6500000000000004,-15.662650602409645,83250,750,50,3.55,50,4.1,17856.5
10,16600,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16600.00,4238,979,30.03988953666769,9104,19.31,4.05,-0.35000000000000053,-7.954545454545466,126500,9600,50,3.85,350,4.5,17856.5
11,16650,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16650.00,1179,643,119.96268656716418,2735,18.79,4.25,-0.5,-10.526315789473683,110550,3550,50,4.2,1750,14.7,17856.5
12,16700,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16700.00,14642,4114,39.07674772036474,18684,18.13,4.25,-0.9000000000000004,-17.475728155339812,82650,12750,800,3.4,850,4.85,17856.5
13,16750,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16750.00,631,71,12.678571428571429,2407,17.92,5,-0.6500000000000004,-11.504424778761067,101450,3800,1200,3.7,100,5.25,17856.5
14,16800,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16800.00,13414,557,4.33227035855954,16170,17.57,5.6,-0.6000000000000005,-9.677419354838717,82600,18750,50,5.4,50,6.2,17856.5
